Order_ID,Order_Date,Customer_ID,Customer_Age,Customer_Segment,Region,Sales_Channel,Category,Product,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Payment_Method
ORD00021,2025-12-04,CUST0068,52.0,Corporate,,Online,Office Supplies,Notebook,2,10.96,0.2,17.54,10.48,7.06,Cash
ORD00022,2025-05-08,CUST0283,39.0,Small Business,North,Distributor,Electronics,Headphones,8,78.28,0.05,594.93,470.5,124.43,Cash
ORD00023,2025-11-13,CUST0006,34.0,Small Business,East,Retail Store,Office Supplies,Printer Paper,1,13.75,0.1,12.38,9.99,2.38,Bank Transfer
ORD00024,2025-10-29,CUST0253,52.0,Small Business,Central,Online,Office Supplies,Stapler,8,5.31,0.15,36.11,20.59,15.51,Bank Transfer
ORD00025,2025-08-11,CUST0127,57.0,Small Business,South,Distributor,Home & Kitchen,Blender,2,84.37,0.0,168.74,137.91,30.83,Debit Card
ORD00026,2025-10-26,CUST0013,43.0,Corporate,Central,Retail Store,Office Supplies,Printer Paper,1,26.93,0.0,26.93,21.12,5.81,UPI
ORD00027,2025-01-20,CUST0092,33.0,Corporate,North,Distributor,Clothing,Jeans,4,30.47,0.15,103.6,66.43,37.16,Bank Transfer
ORD00028,2025-06-02,CUST0180,39.0,Small Business,South,Retail Store,Furniture,Desk,6,435.01,0.05,2479.56,1384.18,1095.38,Debit Card
ORD00029,2025-03-01,CUST0047,56.0,Consumer,West,Retail Store,Furniture,Bookshelf,1,120.66,0.15,102.56,57.84,44.72,Bank Transfer
ORD00030,2025-04-16,CUST0229,36.0,Consumer,East,Retail Store,Office Supplies,Stapler,2,7.65,0.1,13.77,7.87,5.9,Bank Transfer
ORD00031,2025-05-09,CUST0089,18.0,Corporate,South,Retail Store,Furniture,Meeting Table,9,372.79,0.1,3019.6,1737.31,1282.29,Debit Card
ORD00032,2025-10-05,CUST0086,20.0,Small Business,Central,Retail Store,Home & Kitchen,Storage Box,7,54.68,0.15,325.35,210.21,115.14,Bank Transfer
ORD00033,2025-04-04,CUST0039,29.0,Consumer,West,Retail Store,Electronics,Headphones,5,61.34,0.0,306.7,209.4,97.3,Debit Card
ORD00034,2025-01-10,CUST0096,48.0,Corporate,Central,Retail Store,Clothing,T-Shirt,5,35.91,0.02,175.96,141.12,34.83,Debit Card
ORD00035,2025-06-09,CUST0179,52.0,Corporate,East,Online,Electronics,Headphones,8,214.67,0.02,1683.01,1133.89,549.12,Bank Transfer
ORD00036,2025-06-17,CUST0253,61.0,Small Business,South,Online,Office Supplies,Folders,1,13.64,0.0,13.64,8.29,5.35,Cash
ORD00037,2025-09-21,CUST0105,27.0,Corporate,Central,Retail Store,Office Supplies,Printer Paper,1,22.08,0.02,21.64,16.66,4.98,Debit Card
ORD00038,2025-08-05,CUST0192,53.0,Consumer,Central,Online,Clothing,Jeans,8,92.71,0.1,667.51,502.41,165.1,Debit Card
ORD00039,2025-04-06,CUST0273,30.0,Consumer,Central,Distributor,Office Supplies,Notebook,4,11.78,0.02,46.18,26.68,19.49,Credit Card
ORD00040,2025-07-06,CUST0076,53.0,Consumer,East,Online,Electronics,Keyboard,6,127.44,0.15,649.94,516.35,133.59,Bank Transfer
ORD00041,2025-05-24,CUST0053,52.0,Consumer,Central,Online,Electronics,Keyboard,4,143.51,0.05,545.34,381.46,163.87,Bank Transfer
ORD00042,2025-08-11,CUST0239,52.0,Consumer,South,Distributor,Electronics,Headphones,10,281.35,0.2,2250.8,1666.89,583.91,Cash
ORD00043,2025-08-18,CUST0005,26.0,Corporate,Central,Distributor,Clothing,T-Shirt,1,49.27,0.15,41.88,31.02,10.86,Debit Card
ORD00044,2025-11-17,CUST0070,24.0,Consumer,West,Online,Home & Kitchen,Storage Box,8,26.33,0.15,179.04,134.89,44.15,Credit Card
ORD00045,2025-07-21,CUST0220,56.0,Small Business,South,Online,Clothing,Jacket,6,166.57,0.05,949.45,525.11,424.34,UPI
ORD00046,2025-12-14,CUST0058,42.0,Small Business,North,Retail Store,Furniture,Cabinet,9,159.41,0.0,1434.69,958.1,476.59,Credit Card
ORD00047,2025-08-01,CUST0047,53.0,Consumer,East,Distributor,Clothing,Sneakers,5,175.78,0.2,703.12,570.73,132.39,UPI
ORD00048,2025-02-23,CUST0156,28.0,Small Business,East,Retail Store,Electronics,Laptop,1,1195.75,0.15,1016.39,819.83,196.56,Bank Transfer
ORD00049,2025-11-12,CUST0145,58.0,Consumer,South,Distributor,Home & Kitchen,Coffee Maker,10,97.03,0.02,950.89,702.24,248.66,Bank Transfer
ORD00050,2025-03-23,CUST0286,64.0,Consumer,East,Retail Store,Electronics,Laptop,3,911.21,0.15,2323.59,1329.89,993.7,Credit Card
ORD00051,2025-03-06,CUST0283,28.0,Small Business,South,Retail Store,Furniture,Bookshelf,7,94.47,0.0,661.29,431.72,229.57,Cash
ORD00052,2025-11-07,CUST0023,22.0,Consumer,West,Retail Store,Electronics,Headphones,9,47.15,0.05,403.13,321.12,82.02,Cash
ORD00053,2025-05-25,CUST0260,26.0,Corporate,Central,Distributor,Home & Kitchen,Storage Box,10,76.13,0.05,723.23,451.43,271.81,Credit Card
ORD00054,2025-04-05,CUST0054,51.0,Corporate,South,Distributor,Electronics,Laptop,2,1257.0,0.1,2262.6,1432.45,830.15,UPI
ORD00055,2025-04-22,CUST0192,31.0,Consumer,Central,Distributor,Clothing,Sneakers,9,52.38,0.0,471.42,286.39,185.03,Debit Card
ORD00056,2025-10-13,CUST0030,51.0,Small Business,East,Online,Clothing,Jeans,2,61.55,0.02,120.64,83.09,37.55,Bank Transfer
ORD00057,2025-07-03,CUST0053,34.0,Corporate,North,Online,Furniture,Bookshelf,4,303.25,0.02,1188.74,968.36,220.38,Bank Transfer
ORD00058,2025-05-31,CUST0195,33.0,Corporate,East,Online,Furniture,Meeting Table,3,488.22,0.0,1464.66,1160.21,304.45,Bank Transfer
ORD00059,2025-10-04,CUST0001,45.0,Corporate,Central,Online,Office Supplies,Folders,10,19.54,0.05,185.63,103.69,81.94,Debit Card
ORD00060,2025-03-19,CUST0121,44.0,Consumer,South,Retail Store,Home & Kitchen,Blender,2,89.84,0.0,179.68,137.61,42.07,Credit Card
ORD00061,2025-01-08,CUST0154,32.0,Small Business,North,Distributor,Office Supplies,Folders,4,3.04,0.0,12.16,8.43,3.73,Debit Card
ORD00062,2025-12-29,CUST0015,35.0,Consumer,West,Retail Store,Office Supplies,Pens,7,14.84,0.2,83.1,57.66,25.45,Debit Card
ORD00063,2025-09-30,CUST0025,61.0,Corporate,South,Online,Electronics,Headphones,7,79.22,0.0,554.54,356.34,198.2,Credit Card
ORD00064,2025-04-21,CUST0101,25.0,Small Business,South,Distributor,Clothing,Jeans,2,101.03,0.1,181.85,118.62,63.24,Credit Card
ORD00065,2025-12-31,CUST0070,50.0,Consumer,Central,Retail Store,Clothing,Jeans,8,84.68,0.05,643.57,393.12,250.45,Cash
ORD00066,2025-09-04,CUST0220,48.0,Small Business,East,Distributor,Clothing,Jacket,8,63.18,0.0,505.44,400.35,105.09,Cash
ORD00067,2025-04-04,CUST0300,19.0,Corporate,East,Retail Store,Office Supplies,Stapler,6,5.11,0.0,30.66,19.18,11.48,UPI
ORD00068,2025-08-13,CUST0038,29.0,Consumer,West,Retail Store,Home & Kitchen,Coffee Maker,3,130.92,0.1,353.48,267.69,85.79,Credit Card
ORD00069,2025-06-27,CUST0130,40.0,Consumer,South,Retail Store,Home & Kitchen,Lamp,3,141.16,0.0,423.48,269.77,153.71,Debit Card
ORD00070,2025-09-22,CUST0069,41.0,Small Business,East,Retail Store,Clothing,T-Shirt,9,21.25,0.0,191.25,110.7,80.55,UPI
ORD00071,2025-05-17,CUST0267,52.0,Small Business,South,Retail Store,Clothing,Shirt,5,55.64,0.05,264.29,148.79,115.5,Credit Card
ORD00072,2025-06-14,CUST0237,31.0,Small Business,Central,Retail Store,Electronics,Headphones,3,84.44,0.15,215.32,139.29,76.03,Debit Card
ORD00073,2025-10-15,CUST0153,55.0,Consumer,East,Distributor,Furniture,Office Chair,8,373.19,0.2,2388.42,1596.56,791.85,Credit Card
ORD00074,2025-11-05,CUST0042,23.0,Small Business,East,Distributor,Electronics,Laptop,2,891.48,0.2,1426.37,1065.85,360.52,UPI
ORD00075,2025-06-06,CUST0196,54.0,Consumer,North,Distributor,Clothing,Sneakers,7,109.36,0.05,727.24,428.09,299.16,UPI
ORD00076,2025-04-28,CUST0184,64.0,,Central,Online,Furniture,Desk,10,471.09,0.0,4710.9,2753.15,1957.75,Bank Transfer
ORD00077,2025-06-22,CUST0282,48.0,Small Business,South,Distributor,Home & Kitchen,Storage Box,4,44.05,0.1,158.58,111.43,47.15,UPI
ORD00078,2025-05-14,CUST0210,60.0,Corporate,South,Retail Store,Office Supplies,Pens,10,8.22,0.2,65.76,46.58,19.18,Bank Transfer
ORD00079,2025-05-13,CUST0051,59.0,Small Business,Central,Distributor,Electronics,Laptop,4,518.11,0.1,1865.2,1331.4,533.79,Credit Card
ORD00080,2025-10-29,CUST0001,43.0,Consumer,Central,Retail Store,Home & Kitchen,Blender,7,169.58,0.0,1187.06,921.3,265.76,Bank Transfer
ORD00081,2025-07-21,CUST0025,43.0,Consumer,West,Distributor,Office Supplies,Folders,5,9.45,0.0,47.25,31.07,16.18,Credit Card
ORD00082,2025-12-13,CUST0025,61.0,Small Business,North,Distributor,Furniture,Bookshelf,7,375.35,0.02,2574.9,1588.77,986.13,UPI
ORD00083,2025-03-04,CUST0084,43.0,Corporate,East,Retail Store,Clothing,Sneakers,1,168.08,0.15,142.87,104.17,38.7,Bank Transfer
ORD00084,2025-03-04,CUST0211,24.0,Consumer,Central,Online,Electronics,Laptop,6,1057.31,0.1,5709.47,3752.7,1956.77,Credit Card
ORD00085,2025-01-18,CUST0113,64.0,Corporate,North,Retail Store,Home & Kitchen,Blender,8,45.12,0.05,342.91,238.08,104.83,Debit Card
ORD00086,2025-02-24,CUST0087,27.0,Corporate,East,Retail Store,Furniture,Bookshelf,1,129.68,0.15,110.23,76.3,33.93,UPI
ORD00087,2025-11-09,CUST0051,25.0,Small Business,East,Distributor,Clothing,Jeans,8,108.03,0.0,864.24,608.21,256.03,Credit Card
ORD00088,2025-04-06,CUST0161,38.0,Consumer,East,Distributor,Electronics,Keyboard,2,50.96,0.05,96.82,69.81,27.02,Debit Card
ORD00089,2025-10-12,CUST0011,19.0,Corporate,West,Distributor,Home & Kitchen,Lamp,3,35.96,0.1,97.09,69.78,27.31,Credit Card
ORD00090,2025-01-20,CUST0280,55.0,Consumer,Central,Retail Store,Furniture,Desk,7,385.99,0.1,2431.74,1902.81,528.93,Credit Card
ORD00091,2025-04-25,CUST0201,26.0,Corporate,North,Online,Electronics,Smartphone,7,765.78,0.0,5360.46,3530.87,1829.59,Debit Card
ORD00092,2025-03-16,CUST0017,59.0,Consumer,South,Online,Office Supplies,Stapler,2,7.65,0.15,13.0,8.12,4.89,Bank Transfer
ORD00093,2025-12-28,CUST0173,48.0,Small Business,Central,Retail Store,Home & Kitchen,Blender,7,109.65,0.15,652.42,464.61,187.81,UPI
ORD00094,2025-03-05,CUST0282,60.0,Corporate,South,Distributor,Electronics,Smartphone,10,604.38,0.2,4835.04,2777.2,2057.84,Credit Card
ORD00095,2025-07-06,CUST0239,51.0,Corporate,East,Online,Home & Kitchen,Storage Box,4,68.6,0.0,274.4,170.92,103.48,Cash
ORD00096,2025-12-31,CUST0201,26.0,Corporate,East,Retail Store,Clothing,Jacket,1,139.26,0.2,111.41,64.48,46.93,Debit Card
ORD00097,2025-01-25,CUST0012,54.0,Small Business,East,Distributor,Electronics,Laptop,8,995.49,0.02,7804.64,4866.03,2938.61,Bank Transfer
ORD00098,2025-01-17,CUST0264,64.0,Consumer,South,Retail Store,Office Supplies,Folders,1,4.56,0.15,3.88,3.13,0.74,Bank Transfer
ORD00099,2025-07-19,CUST0026,42.0,Corporate,North,Distributor,Home & Kitchen,Blender,6,132.23,0.2,634.7,467.88,166.83,Bank Transfer
ORD00100,2025-09-07,CUST0082,26.0,Small Business,Central,Retail Store,Furniture,Office Chair,5,172.23,0.2,688.92,457.36,231.56,UPI
ORD00101,2025-01-14,CUST0183,51.0,Consumer,East,Online,Clothing,Jacket,10,97.87,0.0,978.7,678.41,300.29,UPI
ORD00102,2025-07-29,CUST0227,59.0,Consumer,North,Retail Store,Clothing,T-Shirt,6,39.23,0.0,235.38,155.99,79.39,Bank Transfer
ORD00103,2025-05-21,CUST0245,56.0,Small Business,South,Online,Furniture,Desk,7,163.83,0.15,974.79,738.05,236.74,Bank Transfer
ORD00104,2025-12-25,CUST0158,18.0,Consumer,West,Distributor,Clothing,T-Shirt,9,41.13,0.02,362.77,245.29,117.47,Credit Card
ORD00105,2025-07-12,CUST0140,32.0,Corporate,Central,Distributor,Furniture,Cabinet,5,457.78,0.0,2288.9,1496.41,792.49,Credit Card
ORD00106,2025-07-17,CUST0260,30.0,Corporate,East,Online,Office Supplies,Printer Paper,5,24.95,0.05,118.51,88.97,29.54,Debit Card
ORD00107,2025-08-31,CUST0241,27.0,Corporate,Central,Retail Store,Office Supplies,Stapler,6,21.76,0.15,110.98,72.55,38.43,UPI
ORD00108,2025-02-23,CUST0178,52.0,Consumer,North,Retail Store,Furniture,Bookshelf,5,344.39,0.15,1463.66,1012.5,451.16,Bank Transfer
ORD00109,2025-09-26,CUST0267,42.0,Small Business,Central,Retail Store,Furniture,Office Chair,3,161.56,0.2,387.74,303.31,84.44,Credit Card
ORD00110,2025-08-14,CUST0226,26.0,Corporate,West,Online,Electronics,Monitor,9,272.83,0.05,2332.7,1746.04,586.66,Credit Card
ORD00111,2025-02-06,CUST0040,45.0,Consumer,West,Online,Clothing,Jacket,10,158.51,0.02,1553.4,1211.38,342.02,Cash
ORD00112,2025-02-09,CUST0168,62.0,Consumer,East,Retail Store,Home & Kitchen,Storage Box,3,73.46,0.02,215.97,149.18,66.79,Credit Card
ORD00113,2025-12-29,CUST0188,59.0,Consumer,Central,Distributor,Clothing,T-Shirt,9,22.08,0.15,168.91,124.78,44.13,Bank Transfer
ORD00114,2025-01-31,CUST0082,49.0,Corporate,South,Online,Home & Kitchen,Lamp,9,144.97,0.05,1239.49,930.55,308.95,UPI
ORD00115,2025-08-12,CUST0223,44.0,Corporate,Central,Online,Clothing,Jeans,7,104.89,0.02,719.55,518.5,201.05,Credit Card
ORD00116,2025-03-15,CUST0278,45.0,Corporate,North,Distributor,Furniture,Cabinet,3,104.54,0.2,250.9,201.13,49.77,Bank Transfer
ORD00117,2025-08-07,CUST0120,34.0,Corporate,North,Retail Store,Clothing,Shirt,2,76.59,0.1,137.86,88.7,49.16,Debit Card
ORD00118,2025-08-15,CUST0079,29.0,Consumer,West,Distributor,Office Supplies,Printer Paper,4,26.79,0.05,101.8,78.57,23.23,Cash
ORD00119,2025-08-14,CUST0285,52.0,Consumer,Central,Online,Office Supplies,Pens,10,14.3,0.02,140.14,83.27,56.87,Cash
ORD00120,2025-03-25,CUST0092,20.0,Small Business,East,Retail Store,Home & Kitchen,Lamp,2,48.7,0.2,77.92,46.03,31.89,Credit Card
ORD00121,2025-03-25,CUST0015,22.0,Consumer,East,Distributor,Home & Kitchen,Storage Box,5,73.67,0.05,349.93,231.14,118.8,UPI
ORD00122,2025-10-07,CUST0145,32.0,Corporate,West,Distributor,Furniture,Meeting Table,1,480.32,0.0,480.32,389.74,90.58,Bank Transfer
ORD00123,2025-07-18,CUST0046,61.0,Consumer,East,Retail Store,Home & Kitchen,Storage Box,2,20.76,0.1,37.37,26.77,10.59,Cash
ORD00124,2025-01-09,CUST0072,39.0,Small Business,North,Online,Electronics,Laptop,4,1107.31,0.1,3986.32,2827.78,1158.54,Cash
ORD00125,2025-11-16,CUST0102,64.0,Corporate,South,Online,Office Supplies,Folders,5,5.54,0.02,27.15,20.48,6.67,UPI
ORD00126,2025-03-17,CUST0242,49.0,Corporate,North,Online,Electronics,Monitor,8,366.23,0.0,2929.84,2054.13,875.71,Bank Transfer
ORD00127,2025-03-18,CUST0174,39.0,Corporate,West,Retail Store,Clothing,T-Shirt,1,38.3,0.0,38.3,26.93,11.37,Debit Card
ORD00128,2025-11-01,CUST0073,20.0,Consumer,East,Retail Store,Furniture,Desk,10,683.94,0.1,6155.46,4374.01,1781.45,UPI
ORD00129,2025-12-14,CUST0084,64.0,Corporate,West,Distributor,Electronics,Smartphone,8,1135.2,0.02,8899.97,5087.5,3812.47,UPI
ORD00130,2025-07-07,CUST0012,28.0,Corporate,South,Retail Store,Clothing,Jeans,3,100.54,0.0,301.62,214.21,87.41,Debit Card
ORD00131,2025-02-24,CUST0288,25.0,Consumer,West,Distributor,Home & Kitchen,Blender,10,162.05,0.05,1539.48,1026.96,512.51,Cash
ORD00132,2025-05-30,CUST0093,20.0,Consumer,Central,Retail Store,Office Supplies,Stapler,2,16.11,0.05,30.61,20.17,10.44,Bank Transfer
ORD00133,2025-01-24,CUST0152,21.0,Consumer,West,Retail Store,Electronics,Keyboard,5,42.65,0.02,208.98,170.67,38.31,Bank Transfer
ORD00134,2025-09-07,CUST0262,53.0,Corporate,Central,Distributor,Furniture,Office Chair,9,305.6,0.1,2475.36,1963.43,511.93,Debit Card
ORD00135,2025-09-25,CUST0282,35.0,Consumer,East,Distributor,Furniture,Bookshelf,6,269.55,0.15,1374.71,843.61,531.1,Cash
ORD00136,2025-11-21,CUST0145,64.0,Consumer,Central,Retail Store,Clothing,Jeans,2,51.38,0.15,87.35,50.29,37.06,Credit Card
ORD00137,2025-08-17,CUST0287,18.0,Small Business,Central,Online,Office Supplies,Notebook,2,14.63,0.05,27.8,17.07,10.73,Bank Transfer
ORD00138,2025-09-23,CUST0171,58.0,Corporate,West,Online,Office Supplies,Printer Paper,10,6.84,0.15,58.14,35.88,22.26,Credit Card
ORD00139,2025-10-11,CUST0120,54.0,Small Business,North,Online,Clothing,T-Shirt,6,26.36,0.1,142.34,108.34,34.01,Cash
ORD00140,2025-09-08,CUST0020,31.0,Corporate,Central,Online,Clothing,Shirt,6,89.82,0.1,485.03,336.33,148.7,Debit Card
ORD00141,2025-09-02,CUST0276,50.0,Consumer,East,Distributor,Furniture,Meeting Table,3,876.0,0.2,2102.4,1179.92,922.48,Credit Card
ORD00142,2025-11-02,CUST0294,56.0,Consumer,Central,Retail Store,Home & Kitchen,Coffee Maker,2,291.28,0.0,582.56,374.3,208.26,UPI
ORD00143,2025-01-08,CUST0086,18.0,Consumer,South,Retail Store,Clothing,Sneakers,2,60.1,0.02,117.8,92.4,25.4,Cash
ORD00144,2025-04-24,CUST0289,43.0,Consumer,South,Distributor,Furniture,Office Chair,10,435.25,0.05,4134.88,3313.51,821.37,Credit Card
ORD00145,2025-12-27,CUST0063,45.0,Corporate,South,Retail Store,Electronics,Monitor,5,573.39,0.15,2436.91,1738.34,698.57,Debit Card
ORD00146,2025-03-18,CUST0132,21.0,Small Business,North,Online,Electronics,Laptop,9,,0.15,6937.86,5249.2,1688.66,Debit Card
ORD00147,2025-12-31,CUST0076,41.0,Consumer,East,Online,Office Supplies,Printer Paper,9,24.06,0.05,205.71,131.17,74.54,Credit Card
ORD00148,2025-11-01,CUST0110,61.0,Small Business,North,Distributor,Furniture,Meeting Table,9,642.38,0.0,5781.42,4121.75,1659.67,Debit Card
ORD00149,2025-10-09,CUST0012,45.0,Corporate,South,Online,Furniture,Desk,3,451.27,0.15,1150.74,738.93,411.81,Cash
ORD00150,2025-12-09,CUST0117,60.0,Small Business,South,Online,Home & Kitchen,Coffee Maker,4,181.66,0.05,690.31,416.16,274.15,Cash
ORD00151,2025-10-04,CUST0052,36.0,Corporate,Central,Retail Store,Clothing,T-Shirt,3,44.46,0.1,120.04,81.77,38.27,Debit Card
ORD00152,2025-06-07,CUST0263,30.0,Corporate,South,Retail Store,Office Supplies,Folders,3,16.65,0.02,48.95,28.53,20.42,Bank Transfer
ORD00153,2025-10-25,CUST0141,24.0,Corporate,West,Online,Clothing,Jeans,7,101.98,0.0,713.86,514.66,199.2,Credit Card
ORD00154,2025-05-01,CUST0068,25.0,Corporate,Central,Retail Store,Home & Kitchen,Cookware Set,9,95.62,0.02,843.37,522.07,321.3,Credit Card
ORD00155,2025-12-11,CUST0069,53.0,Small Business,South,Online,Furniture,Bookshelf,7,352.38,0.02,2417.33,1606.23,811.1,Debit Card
ORD00156,2025-05-30,CUST0138,52.0,Small Business,Central,Distributor,Electronics,Monitor,1,541.17,0.15,459.99,320.9,139.1,Bank Transfer
ORD00157,2025-11-16,CUST0125,38.0,Small Business,East,Distributor,Electronics,Headphones,9,190.51,0.02,1680.3,1125.02,555.28,Debit Card
ORD00158,2025-10-29,CUST0036,55.0,Corporate,East,Distributor,Electronics,Laptop,8,515.82,0.1,3713.9,2817.4,896.51,Debit Card
ORD00159,2025-03-11,CUST0005,21.0,Small Business,North,Online,Home & Kitchen,Blender,9,123.41,0.0,1110.69,860.34,250.35,Cash
ORD00160,2025-07-19,CUST0130,61.0,Small Business,South,Retail Store,Clothing,Jacket,8,146.03,0.2,934.59,598.06,336.54,Cash
ORD00161,2025-10-13,CUST0287,61.0,Corporate,West,Online,Clothing,Jeans,3,62.66,0.02,184.22,110.04,74.18,Debit Card
ORD00162,2025-05-25,CUST0104,33.0,Small Business,West,Distributor,Electronics,Smartphone,9,296.68,0.1,2403.11,1580.8,822.31,Cash
ORD00163,2025-10-13,CUST0272,39.0,Corporate,Central,Distributor,Home & Kitchen,Cookware Set,1,235.4,0.0,235.4,184.43,50.97,Debit Card
ORD00164,2025-05-31,CUST0249,19.0,Consumer,South,Online,Clothing,Shirt,4,78.16,0.0,312.64,201.19,111.45,Credit Card
ORD00165,2025-06-03,CUST0101,23.0,Corporate,West,Retail Store,Electronics,Laptop,4,805.52,0.2,2577.66,1763.59,814.08,UPI
ORD00166,2025-06-15,CUST0067,52.0,Consumer,South,Retail Store,Clothing,Jeans,1,75.1,0.02,73.6,54.81,18.78,Debit Card
ORD00167,2025-12-13,CUST0025,35.0,Small Business,South,Retail Store,Clothing,T-Shirt,3,29.51,0.02,86.76,62.73,24.03,Bank Transfer
ORD00168,2025-04-05,CUST0025,33.0,Corporate,North,Distributor,Furniture,Office Chair,1,291.74,0.1,262.57,211.96,50.61,Cash
ORD00169,2025-01-25,CUST0020,29.0,Consumer,West,Online,Home & Kitchen,Storage Box,5,18.52,0.02,90.75,72.86,17.89,Bank Transfer
ORD00170,2025-02-12,CUST0266,36.0,Small Business,South,Online,Furniture,Meeting Table,6,395.1,0.15,2015.01,1533.03,481.98,UPI
ORD00171,2025-02-25,CUST0156,36.0,Small Business,North,Distributor,Electronics,Smartphone,2,684.6,0.15,1163.82,663.55,500.27,Credit Card
ORD00172,2025-04-11,CUST0063,53.0,Consumer,West,Retail Store,Office Supplies,Stapler,4,17.36,0.0,69.44,46.18,23.26,Bank Transfer
ORD00173,2025-04-02,CUST0062,39.0,Consumer,Central,Retail Store,Home & Kitchen,Cookware Set,3,130.96,0.05,373.24,230.33,142.91,Cash
ORD00174,2025-11-10,CUST0213,30.0,Consumer,Central,Retail Store,Office Supplies,Folders,5,3.33,0.02,16.32,10.04,6.28,Cash
ORD00175,2025-07-07,CUST0196,38.0,Small Business,East,Distributor,Home & Kitchen,Coffee Maker,4,66.15,0.0,264.6,156.19,108.41,Bank Transfer
ORD00176,2025-08-21,CUST0113,55.0,Consumer,Central,Online,Furniture,Cabinet,2,221.74,0.05,421.31,340.49,80.81,Debit Card
ORD00177,2025-05-10,CUST0232,50.0,Consumer,West,Retail Store,Electronics,Laptop,9,1158.69,0.0,10428.21,5843.71,4584.5,Debit Card
ORD00178,2025-08-02,CUST0069,34.0,Small Business,North,Distributor,Home & Kitchen,Cookware Set,2,177.44,0.05,337.14,232.61,104.52,Bank Transfer
ORD00179,2025-07-19,CUST0152,60.0,Small Business,North,Online,Clothing,T-Shirt,8,34.95,0.15,237.66,182.18,55.48,Credit Card
ORD00180,2025-08-16,CUST0261,36.0,Small Business,East,Distributor,Electronics,Headphones,8,167.32,0.02,1311.79,783.15,528.64,UPI
ORD00181,2025-11-25,CUST0105,20.0,Small Business,South,Retail Store,Home & Kitchen,Coffee Maker,1,55.24,0.0,55.24,34.27,20.97,Credit Card
ORD00182,2025-05-29,CUST0160,57.0,Small Business,West,Retail Store,Electronics,Laptop,2,1030.3,0.02,2019.39,1375.66,643.73,Debit Card
ORD00183,2025-07-02,CUST0114,57.0,Consumer,North,Retail Store,Clothing,Jeans,1,41.53,0.02,40.7,27.21,13.49,UPI
